id	country	Dbpedia_URI	eurostat_URI	factbook_URI	Gadm_URI	wikiData_URI	ghodata_URI	geonames_URI	cyc_URI	openei_URI	linkedgeodata_URI	YAGO_URI	aims_URI	ontologyportal_URI	number_deaths_due_HIV	label
11	Barbados	http://dbpedia.org/resource/Barbados	http://eurostat.linked-statistics.org/dic/c_ctrl#BB	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Barbados	http://gadm.geovocab.org/id/0_33	http://wikidata.org/entity/Q244	http://ghodata/r6-c20	http://sws.geonames.org/3374084/	http://sw.cyc.com/concept/Mx4rvVip7JwpEbGdrcN5Y29ycA	http://openei.org/resources/Barbados	http://linkedgeodata.org/triplify/node249399285	http://yago-knowledge.org/resource/Barbados	http://aims.fao.org/aos/geopolitical.owl#Barbados	http://www.ontologyportal.org/SUMO.owl#Barbados	100	low
12	Belarus	http://dbpedia.org/resource/Belarus	http://eurostat.linked-statistics.org/dic/c_ctrl#BY	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Belarus	http://gadm.geovocab.org/id/0_28	http://wikidata.org/entity/Q184	http://ghodata/r6-c21	http://sws.geonames.org/630336/	http://sw.cyc.com/concept/Mx4rvVjw35wpEbGdrcN5Y29ycA	http://openei.org/resources/Belarus	http://linkedgeodata.org/triplify/node249399300	http://yago-knowledge.org/resource/Belarus	http://aims.fao.org/aos/geopolitical.owl#Belarus	http://www.ontologyportal.org/SUMO.owl#Belarus	1000	low
13	Belize	http://dbpedia.org/resource/Belize	http://eurostat.linked-statistics.org/dic/c_ctrl#BZ	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Belize	http://gadm.geovocab.org/id/0_29	http://wikidata.org/entity/Q242	http://ghodata/r6-c23	http://sws.geonames.org/3582678/	http://sw.cyc.com/concept/Mx4rvViZApwpEbGdrcN5Y29ycA	http://openei.org/resources/Belize	http://linkedgeodata.org/triplify/node332779764	http://yago-knowledge.org/resource/Belize	http://aims.fao.org/aos/geopolitical.owl#Belize	?	200	low
14	Benin	http://dbpedia.org/resource/Benin	http://eurostat.linked-statistics.org/dic/c_ctrl#BJ	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Benin	http://gadm.geovocab.org/id/0_21	http://wikidata.org/entity/Q962	http://ghodata/r6-c24	http://sws.geonames.org/2395170/	http://sw.cyc.com/concept/Mx4rvViDE5wpEbGdrcN5Y29ycA	http://openei.org/resources/Benin	http://linkedgeodata.org/triplify/node424297384	http://yago-knowledge.org/resource/Benin	http://aims.fao.org/aos/geopolitical.owl#Benin	?	2700	high
15	Bhutan	http://dbpedia.org/resource/Bhutan	http://eurostat.linked-statistics.org/dic/c_ctrl#BT	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Bhutan	http://gadm.geovocab.org/id/0_35	http://wikidata.org/entity/Q917	http://ghodata/r6-c25	http://sws.geonames.org/1252634/	http://sw.cyc.com/concept/Mx4rvbLpP5wpEbGdrcN5Y29ycA	http://openei.org/resources/Bhutan	http://linkedgeodata.org/triplify/node424311028	http://yago-knowledge.org/resource/Bhutan	http://aims.fao.org/aos/geopolitical.owl#Bhutan	?	100	low
16	Botswana	http://dbpedia.org/resource/Botswana	http://eurostat.linked-statistics.org/dic/c_ctrl#BW	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Botswana	http://gadm.geovocab.org/id/0_37	http://wikidata.org/entity/Q963	http://ghodata/r6-c28	http://sws.geonames.org/933860/	http://sw.cyc.com/concept/Mx4rvViFZ5wpEbGdrcN5Y29ycA	http://openei.org/resources/Botswana	http://linkedgeodata.org/triplify/node424313751	http://yago-knowledge.org/resource/Botswana	http://aims.fao.org/aos/geopolitical.owl#Botswana	?	5800	high
17	Brazil	http://dbpedia.org/resource/Brazil	http://eurostat.linked-statistics.org/dic/c_ctrl#BR	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Brazil	http://gadm.geovocab.org/id/3_5870	http://wikidata.org/entity/Q155	http://ghodata/r6-c29	http://sws.geonames.org/3469034/	http://sw.cyc.com/concept/Mx4rvViPAZwpEbGdrcN5Y29ycA	http://openei.org/resources/Brasil	http://linkedgeodata.org/triplify/node424313734	http://yago-knowledge.org/resource/Brazil	http://aims.fao.org/aos/geopolitical.owl#Brazil	http://www.ontologyportal.org/SUMO.owl#Brazil	16000	high
18	Burkina Faso	http://dbpedia.org/resource/Burkina_Faso	http://eurostat.linked-statistics.org/dic/c_ctrl#BF	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Burkina_Faso	http://gadm.geovocab.org/id/0_22	http://wikidata.org/entity/Q965	http://ghodata/r6-c32	http://sws.geonames.org/2361809/	http://sw.cyc.com/concept/Mx4rvViFrJwpEbGdrcN5Y29ycA	http://openei.org/resources/Burkina_Faso	http://linkedgeodata.org/triplify/node249399288	http://yago-knowledge.org/resource/Burkina_Faso	http://aims.fao.org/aos/geopolitical.owl#Burkina_Faso	?	5800	high
19	Burundi	http://dbpedia.org/resource/Burundi	http://eurostat.linked-statistics.org/dic/c_ctrl#BI	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Burundi	http://gadm.geovocab.org/id/0_19	http://wikidata.org/entity/Q967	http://ghodata/r6-c33	http://sws.geonames.org/433561/	http://sw.cyc.com/concept/Mx4rvViF6ZwpEbGdrcN5Y29ycA	http://openei.org/resources/Burundi	http://linkedgeodata.org/triplify/node424310982	http://yago-knowledge.org/resource/Burundi	http://aims.fao.org/aos/geopolitical.owl#Burundi	?	4700	high
20	Cabo Verde	http://dbpedia.org/resource/Cabo_Verde	?	?	?	?	?	?	?	?	?	?	?	?	100	low
21	Cambodia	http://dbpedia.org/resource/Cambodia	http://eurostat.linked-statistics.org/dic/c_ctrl#KH	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Cambodia	http://gadm.geovocab.org/id/0_121	http://wikidata.org/entity/Q424	http://ghodata/r6-c34	?	http://sw.cyc.com/concept/Mx4rvVioY5wpEbGdrcN5Y29ycA	http://openei.org/resources/Cambodia	http://linkedgeodata.org/triplify/node432424952	http://yago-knowledge.org/resource/Cambodia	http://aims.fao.org/aos/geopolitical.owl#Cambodia	http://www.ontologyportal.org/SUMO.owl#Cambodia	2200	high
22	Cameroon	http://dbpedia.org/resource/Cameroon	http://eurostat.linked-statistics.org/dic/c_ctrl#CM	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Cameroon	http://gadm.geovocab.org/id/0_47	http://wikidata.org/entity/Q1009	http://ghodata/r6-c35	http://sws.geonames.org/2233387/	http://sw.cyc.com/concept/Mx4rvViDlZwpEbGdrcN5Y29ycA	http://openei.org/resources/Cameroon	http://linkedgeodata.org/triplify/node424315932	http://yago-knowledge.org/resource/Cameroon	http://aims.fao.org/aos/geopolitical.owl#Cameroon	?	44000	high
23	Canada	http://dbpedia.org/resource/Canada	http://eurostat.linked-statistics.org/dic/c_ctrl#CA	http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/Canada	http://gadm.geovocab.org/id/1_526	http://wikidata.org/entity/Q16	http://ghodata/r6-c36	http://sws.geonames.org/6251999/	http://sw.cyc.com/concept/Mx4rvVimZ5wpEbGdrcN5Y29ycA	http://openei.org/resources/Canada	?	http://yago-knowledge.org/resource/Canada	http://aims.fao.org/aos/geopolitical.owl#Canada	http://www.ontologyportal.org/SUMO.owl#Canada	500	low
24	Central African Republic	http://dbpedia.org/resource/Central_African_Republic	http://eurostat.linked-statistics.org/dic/c_ctrl#CF	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Central_African_Republic	http://gadm.geovocab.org/id/0_40	http://wikidata.org/entity/Q929	http://ghodata/r6-c38	http://sws.geonames.org/239880/	http://sw.cyc.com/concept/Mx4rwQCN6ZwpEbGdrcN5Y29ycA	http://openei.org/resources/Central_African_Republic	http://linkedgeodata.org/triplify/node432424956	http://yago-knowledge.org/resource/Central_African_Republic	http://aims.fao.org/aos/geopolitical.owl#Central_African_Republic_the	http://www.ontologyportal.org/SUMO.owl#CentralAfricanRepublic	11000	high
25	Chad	http://dbpedia.org/resource/Chad	http://eurostat.linked-statistics.org/dic/c_ctrl#TD	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Chad	http://gadm.geovocab.org/id/0_216	http://wikidata.org/entity/Q657	http://ghodata/r6-c39	http://sws.geonames.org/2434508/	http://sw.cyc.com/concept/Mx4rvViCj5wpEbGdrcN5Y29ycA	http://openei.org/resources/Chad	http://linkedgeodata.org/triplify/node424298076	?	http://aims.fao.org/aos/geopolitical.owl#Chad	?	15000	high
26	Chile	http://dbpedia.org/resource/Chile	http://eurostat.linked-statistics.org/dic/c_ctrl#CL	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Chile	http://gadm.geovocab.org/id/0_44	http://wikidata.org/entity/Q298	http://ghodata/r6-c40	http://sws.geonames.org/3895114/	http://sw.cyc.com/concept/Mx4rvViUkZwpEbGdrcN5Y29ycA	http://openei.org/resources/Chile	http://linkedgeodata.org/triplify/node424311104	http://yago-knowledge.org/resource/Chile	http://aims.fao.org/aos/geopolitical.owl#Chile	http://www.ontologyportal.org/SUMO.owl#Chile	1000	low
27	Congo	http://dbpedia.org/resource/Congo	?	?	?	http://wikidata.org/entity/Q35930	?	?	?	?	?	?	?	?	5400	high
28	Costa Rica	http://dbpedia.org/resource/Costa_Rica	http://eurostat.linked-statistics.org/dic/c_ctrl#CR	?	http://gadm.geovocab.org/id/0_54	http://wikidata.org/entity/Q800	http://ghodata/r6-c46	?	http://sw.cyc.com/concept/Mx4rvVioIZwpEbGdrcN5Y29ycA	http://openei.org/resources/Costa_Rica	http://linkedgeodata.org/triplify/node424297465	http://yago-knowledge.org/resource/Costa_Rica	http://aims.fao.org/aos/geopolitical.owl#Costa_Rica	http://www.ontologyportal.org/SUMO.owl#CostaRica	500	low
29	Cuba	http://dbpedia.org/resource/Cuba	http://eurostat.linked-statistics.org/dic/c_ctrl#CU	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Cuba	http://gadm.geovocab.org/id/0_55	http://wikidata.org/entity/Q241	http://ghodata/r6-c48	http://sws.geonames.org/3562981/	http://sw.cyc.com/concept/Mx4rvVjl7JwpEbGdrcN5Y29ycA	http://openei.org/resources/Cuba	http://linkedgeodata.org/triplify/node249399313	http://yago-knowledge.org/resource/Cuba	http://aims.fao.org/aos/geopolitical.owl#Cuba	http://www.ontologyportal.org/SUMO.owl#Cuba	200	low
30	Cyprus	http://dbpedia.org/resource/Cyprus	http://eurostat.linked-statistics.org/dic/c_birth#CY	http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/Kypros_%2F_Kibris	http://gadm.geovocab.org/id/0_58	http://wikidata.org/entity/Q229	http://ghodata/r6-c49	http://sws.geonames.org/146669/	http://sw.cyc.com/concept/Mx4rvVkDw5wpEbGdrcN5Y29ycA	http://openei.org/resources/Cyprus	http://linkedgeodata.org/triplify/node424313406	http://yago-knowledge.org/resource/Cyprus	http://aims.fao.org/aos/geopolitical.owl#Cyprus	http://www.ontologyportal.org/SUMO.owl#Cyprus	100	low
31	Czech Republic	http://dbpedia.org/resource/Czech_Republic	http://eurostat.linked-statistics.org/dic/c_birth#CZ	http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/Ceska_Republika	http://gadm.geovocab.org/id/0_59	http://wikidata.org/entity/Q213	http://ghodata/r6-c50	http://sws.geonames.org/3077311/	http://sw.cyc.com/concept/Mx4rvWS4CpwpEbGdrcN5Y29ycA	http://openei.org/resources/Czech_Republic	http://linkedgeodata.org/triplify/node424313803	http://yago-knowledge.org/resource/Czech_Republic	http://aims.fao.org/aos/geopolitical.owl#Czech_Republic_the	http://www.ontologyportal.org/SUMO.owl#CzechRepublic	100	low
32	Democratic Republic of the Congo	http://dbpedia.org/resource/Democratic_Republic_of_the_Congo	http://eurostat.linked-statistics.org/dic/c_ctrl#CD	?	http://gadm.geovocab.org/id/0_48	http://wikidata.org/entity/Q974	http://ghodata/r6-c53	http://sws.geonames.org/203312/	http://sw.cyc.com/concept/Mx4rwQCMypwpEbGdrcN5Y29ycA	http://openei.org/resources/Democratic_Republic_of_Congo	http://linkedgeodata.org/triplify/node435981993	http://yago-knowledge.org/resource/Democratic_Republic_of_the_Congo	?	http://www.ontologyportal.org/SUMO.owl#DemocraticRepublicOfTheCongo	30000	high
33	Denmark	http://dbpedia.org/resource/Denmark	http://eurostat.linked-statistics.org/dic/c_birth#DK	http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/Danmark	http://gadm.geovocab.org/id/0_63	http://wikidata.org/entity/Q35	http://ghodata/r6-c54	http://sws.geonames.org/2623032/	http://sw.cyc.com/concept/Mx4rvVjmJJwpEbGdrcN5Y29ycA	http://openei.org/resources/Denmark	http://linkedgeodata.org/triplify/node432424968	http://yago-knowledge.org/resource/Denmark	http://aims.fao.org/aos/geopolitical.owl#Denmark	http://www.ontologyportal.org/SUMO.owl#Denmark	100	low
34	Djibouti	http://dbpedia.org/resource/Djibouti	http://eurostat.linked-statistics.org/dic/c_ctrl#DJ	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Djibouti	?	http://wikidata.org/entity/Q977	http://ghodata/r6-c55	http://sws.geonames.org/223816/	http://sw.cyc.com/concept/Mx4rvViGKZwpEbGdrcN5Y29ycA	http://openei.org/resources/Djibouti	?	http://yago-knowledge.org/resource/Djibouti	http://aims.fao.org/aos/geopolitical.owl#Djibouti	?	1000	low
35	Dominican Republic	http://dbpedia.org/resource/Dominican_Republic	http://eurostat.linked-statistics.org/dic/c_ctrl#DO	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Dominican_Republic	http://gadm.geovocab.org/id/0_64	http://wikidata.org/entity/Q786	http://ghodata/r6-c57	http://sws.geonames.org/3508796/	http://sw.cyc.com/concept/Mx4rvVjue5wpEbGdrcN5Y29ycA	http://openei.org/resources/Dominican_Republic	http://linkedgeodata.org/triplify/node246422158	http://yago-knowledge.org/resource/Dominican_Republic	?	http://www.ontologyportal.org/SUMO.owl#DominicanRepublic	1700	high
36	Ecuador	http://dbpedia.org/resource/Ecuador	http://eurostat.linked-statistics.org/dic/c_ctrl#EC	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Ecuador	http://gadm.geovocab.org/id/0_66	http://wikidata.org/entity/Q736	http://ghodata/r6-c58	http://sws.geonames.org/3658394/	http://sw.cyc.com/concept/Mx4rvVjpApwpEbGdrcN5Y29ycA	http://openei.org/resources/Ecuador	http://linkedgeodata.org/triplify/node424298227	http://yago-knowledge.org/resource/Ecuador	http://aims.fao.org/aos/geopolitical.owl#Ecuador	http://www.ontologyportal.org/SUMO.owl#Ecuador	1600	high
37	Egypt	http://dbpedia.org/resource/Egypt	http://eurostat.linked-statistics.org/dic/c_ctrl#EG	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Egypt	http://gadm.geovocab.org/id/0_67	http://wikidata.org/entity/Q79	http://ghodata/r6-c59	http://sws.geonames.org/357994/	http://sw.cyc.com/concept/Mx4rvViTg5wpEbGdrcN5Y29ycA	http://openei.org/resources/Egypt	http://linkedgeodata.org/triplify/node424316018	http://yago-knowledge.org/resource/Egypt	http://aims.fao.org/aos/geopolitical.owl#Egypt	http://www.ontologyportal.org/SUMO.owl#Egypt	500	low
38	El Salvador	http://dbpedia.org/resource/El_Salvador	http://eurostat.linked-statistics.org/dic/c_ctrl#SV	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/El_Salvador	http://gadm.geovocab.org/id/0_201	http://wikidata.org/entity/Q792	http://ghodata/r6-c60	http://sws.geonames.org/3585968/	http://sw.cyc.com/concept/Mx4rvVkHHJwpEbGdrcN5Y29ycA	http://openei.org/resources/El_Salvador	http://linkedgeodata.org/triplify/node424311802	http://yago-knowledge.org/resource/El_Salvador	http://aims.fao.org/aos/geopolitical.owl#El_Salvador	?	1000	low
39	Eritrea	http://dbpedia.org/resource/Eritrea	http://eurostat.linked-statistics.org/dic/c_ctrl#ER	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Eritrea	http://gadm.geovocab.org/id/0_68	http://wikidata.org/entity/Q986	http://ghodata/r6-c62	http://sws.geonames.org/338010/	http://sw.cyc.com/concept/Mx4rvzpyaZwpEbGdrcN5Y29ycA	http://openei.org/resources/Eritrea	http://linkedgeodata.org/triplify/node424316022	http://yago-knowledge.org/resource/Eritrea	http://aims.fao.org/aos/geopolitical.owl#Eritrea	http://www.ontologyportal.org/SUMO.owl#Eritrea	1000	low
40	Ethiopia	http://dbpedia.org/resource/Ethiopia	http://eurostat.linked-statistics.org/dic/c_ctrl#ET	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Ethiopia	http://gadm.geovocab.org/id/0_72	http://wikidata.org/entity/Q115	http://ghodata/r6-c64	http://sws.geonames.org/337996/	http://sw.cyc.com/concept/Mx4rvViGbZwpEbGdrcN5Y29ycA	http://openei.org/resources/Ethiopia	http://linkedgeodata.org/triplify/node424311222	http://yago-knowledge.org/resource/Ethiopia	http://aims.fao.org/aos/geopolitical.owl#Ethiopia	http://www.ontologyportal.org/SUMO.owl#Ethiopia	45000	high
41	Fiji	http://dbpedia.org/resource/Fiji	http://eurostat.linked-statistics.org/dic/c_ctrl#FJ	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Fiji	?	http://wikidata.org/entity/Q712	http://ghodata/r6-c65	http://sws.geonames.org/2205218/	http://sw.cyc.com/concept/Mx4rvVjkT5wpEbGdrcN5Y29ycA	http://openei.org/resources/Fiji	http://linkedgeodata.org/triplify/node424313823	http://yago-knowledge.org/resource/Fiji	http://aims.fao.org/aos/geopolitical.owl#Fiji	?	100	low
42	France	http://dbpedia.org/resource/France	http://eurostat.linked-statistics.org/dic/c_birth#FR	http://wifo5-04.informatik.uni-mannheim.de/eurostat/resource/countries/France	http://gadm.geovocab.org/id/0_76	http://wikidata.org/entity/Q142	http://ghodata/r6-c67	http://sws.geonames.org/3017382/	http://sw.cyc.com/concept/Mx4rvVj6EJwpEbGdrcN5Y29ycA	http://openei.org/resources/France	http://linkedgeodata.org/triplify/node424313308	http://yago-knowledge.org/resource/France	http://aims.fao.org/aos/geopolitical.owl#France	http://www.ontologyportal.org/SUMO.owl#France	1500	high
43	Gabon	http://dbpedia.org/resource/Gabon	http://eurostat.linked-statistics.org/dic/c_ctrl#GA	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Gabon	http://gadm.geovocab.org/id/0_79	http://wikidata.org/entity/Q1000	http://ghodata/r6-c68	http://sws.geonames.org/2400553/	http://sw.cyc.com/concept/Mx4rvVkE4pwpEbGdrcN5Y29ycA	http://openei.org/resources/Gabon	http://linkedgeodata.org/triplify/node424311252	http://yago-knowledge.org/resource/Gabon	http://aims.fao.org/aos/geopolitical.owl#Gabon	?	2100	high
44	Gambia	http://dbpedia.org/resource/Gambia	?	?	?	?	?	?	?	?	?	?	http://aims.fao.org/aos/geopolitical.owl#Gambia__the	?	500	low
45	Georgia	http://dbpedia.org/resource/Georgia	?	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Georgia	?	http://wikidata.org/entity/Q4962	?	?	?	?	?	?	http://aims.fao.org/aos/geopolitical.owl#Georgia	?	200	low
46	Ghana	http://dbpedia.org/resource/Ghana	http://eurostat.linked-statistics.org/dic/c_ctrl#GH	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Ghana	http://gadm.geovocab.org/id/0_83	http://wikidata.org/entity/Q117	http://ghodata/r6-c72	http://sws.geonames.org/2300660/	http://sw.cyc.com/concept/Mx4rvViG75wpEbGdrcN5Y29ycA	http://openei.org/resources/Ghana	http://linkedgeodata.org/triplify/node424313836	http://yago-knowledge.org/resource/Ghana	http://aims.fao.org/aos/geopolitical.owl#Ghana	http://www.ontologyportal.org/SUMO.owl#Ghana	10000	high
47	Guatemala	http://dbpedia.org/resource/Guatemala	http://eurostat.linked-statistics.org/dic/c_ctrl#GT	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Guatemala	http://gadm.geovocab.org/id/1_1120	http://wikidata.org/entity/Q774	http://ghodata/r6-c75	http://sws.geonames.org/3595528/	http://sw.cyc.com/concept/Mx4rvVi0XZwpEbGdrcN5Y29ycA	?	http://linkedgeodata.org/triplify/node332782099	http://yago-knowledge.org/resource/Guatemala	http://aims.fao.org/aos/geopolitical.owl#Guatemala	?	2600	high
48	Guinea	http://dbpedia.org/resource/Guinea	http://eurostat.linked-statistics.org/dic/c_ctrl#GN	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Guinea	http://gadm.geovocab.org/id/0_85	http://wikidata.org/entity/Q1006	http://ghodata/r6-c76	http://sws.geonames.org/2420477/	http://sw.cyc.com/concept/Mx4rvViHMpwpEbGdrcN5Y29ycA	http://openei.org/resources/Guinea	http://linkedgeodata.org/triplify/node424297586	?	http://aims.fao.org/aos/geopolitical.owl#Guinea	?	5400	high
49	Guinea-Bissau	http://dbpedia.org/resource/Guinea-Bissau	http://eurostat.linked-statistics.org/dic/c_ctrl#GW	http://wifo5-04.informatik.uni-mannheim.de/factbook/resource/Guinea-Bissau	http://gadm.geovocab.org/id/0_88	http://wikidata.org/entity/Q1007	http://ghodata/r6-c77	http://sws.geonames.org/2372248/	?	http://openei.org/resources/Guinea-2DBissau	http://linkedgeodata.org/triplify/node424297609	http://yago-knowledge.org/resource/Guinea-Bissau	http://aims.fao.org/aos/geopolitical.owl#Guinea-Bissau	?	2300	high
